,0,1,2,3,4,5,6,7,8,9,avg,std,ub,lb
0.0,0.4064477,0.40357602,0.4466237,0.43733653,0.4327117,0.433444,0.43242624,0.44292283,0.43923277,0.41121405,0.42859355,0.014121504,0.44271505,0.41447204
0.25,0.42721152,0.4074388,0.4073888,0.3779592,0.40381283,0.41422528,0.3940131,0.40917948,0.38163233,0.37039655,0.3993258,0.016187498,0.41551328,0.3831383
0.5,0.39384267,0.40147352,0.41079178,0.38130733,0.40251192,0.388557,0.38399196,0.40520206,0.37115887,0.39261264,0.393145,0.011049491,0.40419447,0.38209552
0.75,0.29247642,0.3227142,0.30013835,0.33551452,0.29469496,0.29476374,0.3034166,0.29499003,0.2961669,0.31624037,0.3051116,0.013291594,0.31840318,0.29182
1.0,0.23505707,0.2682648,0.24907094,0.25332668,0.24588712,0.2595629,0.25952396,0.27234545,0.24766481,0.27351898,0.25642228,0.011335198,0.26775748,0.24508709
1.25,0.23177984,0.2060902,0.22392574,0.23553541,0.22936025,0.1913096,0.20669888,0.22489582,0.2352385,0.23426986,0.2219104,0.013816967,0.23572737,0.20809343
1.5,0.18529086,0.21226613,0.18597843,0.17275885,0.18282111,0.18452303,0.16953582,0.20407003,0.20838544,0.18989332,0.1895523,0.013023408,0.20257571,0.1765289
1.75,-0.00025515634,0.037606765,0.13003059,0.0543587,0.10913968,0.044315897,0.036121048,0.11339242,-0.0149953645,0.02550451,0.053521913,0.04425596,0.09777787,0.009265952
2.0,-0.016720012,-0.017640498,-0.01629209,-0.017214652,-0.017021462,-0.017293537,-0.018235698,-0.017633246,-0.01727077,-0.017375333,-0.017269729,0.00048025264,-0.016789475,-0.017749982
0.0,0.17228837,0.23914541,0.30077973,0.18106343,0.28216332,0.41375408,0.31048167,0.2771363,0.2588176,0.28950214,0.2725132,0.062013023,0.33452624,0.21050018
0.25,0.36280158,0.49613774,0.19261377,0.3652825,0.33797902,0.3916745,0.47661102,0.42495644,0.24497545,0.321113,0.36141452,0.08560793,0.44702244,0.2758066
0.5,0.2789084,0.34325117,0.27895012,0.23711076,0.2783169,0.34407446,0.34756044,0.38341904,0.35725972,0.29064953,0.31395006,0.042391237,0.3563413,0.27155882
0.75,0.38141537,0.37865096,0.38956043,0.35580447,0.40952662,0.39893776,0.3689474,0.40428126,0.3897467,0.38466877,0.386154,0.014650255,0.40080425,0.37150374
1.0,0.3750369,0.38316035,0.35703447,0.38627577,0.38202164,0.36730385,0.37316966,0.4002479,0.37568992,0.37676406,0.37767047,0.010436437,0.3881069,0.36723402
1.25,0.3550358,0.35161468,0.37521294,0.37721512,0.37090823,0.39880708,0.35208926,0.38818914,0.37329847,0.35420793,0.36965787,0.014717307,0.38437518,0.35494056
1.5,0.4091418,0.37487242,0.39763355,0.36414516,0.36373958,0.41475293,0.39180964,0.3709799,0.3841044,0.40519273,0.38763723,0.017053664,0.4046909,0.37058356
1.75,0.3738101,0.42050996,0.4080145,0.354491,0.36183107,0.35353297,0.3948031,0.37860766,0.37588507,0.3670386,0.37885243,0.020311974,0.3991644,0.35854045
2.0,0.34119952,0.3404139,0.27013433,0.3307192,0.26394525,0.34441525,0.28571057,0.3457142,0.30809742,0.36625946,0.3196609,0.032084145,0.35174504,0.28757676
